areaname,devname,year,value
Africa,Developing regions,1980,3936
Africa,Developing regions,1981,4347
Africa,Developing regions,1982,3802
Africa,Developing regions,1983,2654
Africa,Developing regions,1984,2611
Africa,Developing regions,1985,2639
Africa,Developing regions,1986,3744
Africa,Developing regions,1987,7428
Africa,Developing regions,1988,7506
Africa,Developing regions,1989,9846
Africa,Developing regions,1990,10896
Africa,Developing regions,1991,14005
Africa,Developing regions,1992,18803
Africa,Developing regions,1993,16127
Africa,Developing regions,1994,12763
Africa,Developing regions,1995,14277
Africa,Developing regions,1996,14904
Africa,Developing regions,1997,13808
Africa,Developing regions,1998,13023
Africa,Developing regions,1999,15059
Africa,Developing regions,2000,19114
Africa,Developing regions,2001,23044
Africa,Developing regions,2002,21607
Africa,Developing regions,2003,22133
Africa,Developing regions,2004,26727
Africa,Developing regions,2005,26002
Africa,Developing regions,2006,27565
Africa,Developing regions,2007,26818
Africa,Developing regions,2008,28493
Africa,Developing regions,2009,32953
Africa,Developing regions,2010,39653
Africa,Developing regions,2011,34217
Africa,Developing regions,2012,36369
Africa,Developing regions,2013,36493
Asia,Developed regions,1980,701
Asia,Developed regions,1981,756
Asia,Developed regions,1982,598
Asia,Developed regions,1983,309
Asia,Developed regions,1984,246
Asia,Developed regions,1985,198
Asia,Developed regions,1986,248
Asia,Developed regions,1987,422
Asia,Developed regions,1988,324
Asia,Developed regions,1989,494
Asia,Developed regions,1990,379
Asia,Developed regions,1991,506
Asia,Developed regions,1992,605
Asia,Developed regions,1993,907
Asia,Developed regions,1994,956
Asia,Developed regions,1995,826
Asia,Developed regions,1996,994
Asia,Developed regions,1997,924
Asia,Developed regions,1998,897
Asia,Developed regions,1999,1083
Asia,Developed regions,2000,1010
Asia,Developed regions,2001,1092
Asia,Developed regions,2002,806
Asia,Developed regions,2003,817
Asia,Developed regions,2004,973
Asia,Developed regions,2005,1067
Asia,Developed regions,2006,1212
Asia,Developed regions,2007,1250
Asia,Developed regions,2008,1284
Asia,Developed regions,2009,1194
Asia,Developed regions,2010,1168
Asia,Developed regions,2011,1265
Asia,Developed regions,2012,1214
Asia,Developed regions,2013,982
Asia,Developing regions,1980,30324
Asia,Developing regions,1981,33558
Asia,Developing regions,1982,29616
Asia,Developing regions,1983,24387
Asia,Developing regions,1984,27028
Asia,Developing regions,1985,23652
Asia,Developing regions,1986,28491
Asia,Developing regions,1987,42781
Asia,Developing regions,1988,47130
Asia,Developing regions,1989,59762
Asia,Developing regions,1990,72450
Asia,Developing regions,1991,89458
Asia,Developing regions,1992,90147
Asia,Developing regions,1993,97830
Asia,Developing regions,1994,87896
Asia,Developing regions,1995,89598
Asia,Developing regions,1996,102036
Asia,Developing regions,1997,105435
Asia,Developing regions,1998,89775
Asia,Developing regions,1999,105361
Asia,Developing regions,2000,133063
Asia,Developing regions,2001,146597
Asia,Developing regions,2002,136389
Asia,Developing regions,2003,130485
Asia,Developing regions,2004,133320
Asia,Developing regions,2005,157436
Asia,Developing regions,2006,147098
Asia,Developing regions,2007,131519
Asia,Developing regions,2008,137701
Asia,Developing regions,2009,139562
Asia,Developing regions,2010,162033
Asia,Developing regions,2011,145025
Asia,Developing regions,2012,150243
Asia,Developing regions,2013,153290
Europe,Developed regions,1980,39760
Europe,Developed regions,1981,44802
Europe,Developed regions,1982,42720
Europe,Developed regions,1983,24638
Europe,Developed regions,1984,22287
Europe,Developed regions,1985,20844
Europe,Developed regions,1986,24370
Europe,Developed regions,1987,46698
Europe,Developed regions,1988,54726
Europe,Developed regions,1989,60893
Europe,Developed regions,1990,68301
Europe,Developed regions,1991,57938
Europe,Developed regions,1992,64123
Europe,Developed regions,1993,62872
Europe,Developed regions,1994,62306
Europe,Developed regions,1995,55571
Europe,Developed regions,1996,55504
Europe,Developed regions,1997,48770
Europe,Developed regions,1998,36613
Europe,Developed regions,1999,35459
Europe,Developed regions,2000,37978
Europe,Developed regions,2001,42488
Europe,Developed regions,2002,36445
Europe,Developed regions,2003,33918
Europe,Developed regions,2004,37639
Europe,Developed regions,2005,35670
Europe,Developed regions,2006,32797
Europe,Developed regions,2007,33284
Europe,Developed regions,2008,34501
Europe,Developed regions,2009,34880
Europe,Developed regions,2010,33237
Europe,Developed regions,2011,26648
Europe,Developed regions,2012,29051
Europe,Developed regions,2013,28579
Latin America and the Caribbean,Developing regions,1980,13081
Latin America and the Caribbean,Developing regions,1981,15215
Latin America and the Caribbean,Developing regions,1982,16769
Latin America and the Caribbean,Developing regions,1983,15427
