areaname,year,value
Africa,1980,3936
Africa,1981,4347
Africa,1982,3802
Africa,1983,2654
Africa,1984,2611
Africa,1985,2639
Africa,1986,3744
Africa,1987,7428
Africa,1988,7506
Africa,1989,9846
Africa,1990,10896
Africa,1991,14005
Africa,1992,18803
Africa,1993,16127
Africa,1994,12763
Africa,1995,14277
Africa,1996,14904
Africa,1997,13808
Africa,1998,13023
Africa,1999,15059
Africa,2000,19114
Africa,2001,23044
Africa,2002,21607
Africa,2003,22133
Africa,2004,26727
Africa,2005,26002
Africa,2006,27565
Africa,2007,26818
Africa,2008,28493
Africa,2009,32953
Africa,2010,39653
Africa,2011,34217
Africa,2012,36369
Africa,2013,36493
Asia,1980,31025
Asia,1981,34314
Asia,1982,30214
Asia,1983,24696
Asia,1984,27274
Asia,1985,23850
Asia,1986,28739
Asia,1987,43203
Asia,1988,47454
Asia,1989,60256
Asia,1990,72829
Asia,1991,89964
Asia,1992,90752
Asia,1993,98737
Asia,1994,88852
Asia,1995,90424
Asia,1996,103030
Asia,1997,106359
Asia,1998,90672
Asia,1999,106444
Asia,2000,134073
Asia,2001,147689
Asia,2002,137195
Asia,2003,131302
Asia,2004,134293
Asia,2005,158503
Asia,2006,148310
Asia,2007,132769
Asia,2008,138985
Asia,2009,140756
Asia,2010,163201
Asia,2011,146290
Asia,2012,151457
Asia,2013,154272
Europe,1980,39760
Europe,1981,44802
Europe,1982,42720
Europe,1983,24638
Europe,1984,22287
Europe,1985,20844
Europe,1986,24370
Europe,1987,46698
Europe,1988,54726
Europe,1989,60893
Europe,1990,68301
Europe,1991,57938
Europe,1992,64123
Europe,1993,62872
Europe,1994,62306
Europe,1995,55571
Europe,1996,55504
Europe,1997,48770
Europe,1998,36613
Europe,1999,35459
Europe,2000,37978
Europe,2001,42488
Europe,2002,36445
Europe,2003,33918
Europe,2004,37639
Europe,2005,35670
Europe,2006,32797
Europe,2007,33284
Europe,2008,34501
Europe,2009,34880
Europe,2010,33237
Europe,2011,26648
Europe,2012,29051
Europe,2013,28579
Latin America and the Caribbean,1980,13081
Latin America and the Caribbean,1981,15215
Latin America and the Caribbean,1982,16769
Latin America and the Caribbean,1983,15427
Latin America and the Caribbean,1984,13678
Latin America and the Caribbean,1985,15171
Latin America and the Caribbean,1986,21179
Latin America and the Caribbean,1987,28471
Latin America and the Caribbean,1988,21924
Latin America and the Caribbean,1989,25060
Latin America and the Caribbean,1990,27942
Latin America and the Caribbean,1991,36827
Latin America and the Caribbean,1992,37853
Latin America and the Caribbean,1993,33840
Latin America and the Caribbean,1994,21341
Latin America and the Caribbean,1995,20262
Latin America and the Caribbean,1996,18645
Latin America and the Caribbean,1997,17174
Latin America and the Caribbean,1998,13830
Latin America and the Caribbean,1999,15088
Latin America and the Caribbean,2000,16898
Latin America and the Caribbean,2001,20067
Latin America and the Caribbean,2002,19317
Latin America and the Caribbean,2003,20263
Latin America and the Caribbean,2004,22181
Latin America and the Caribbean,2005,24747
Latin America and the Caribbean,2006,24676
Latin America and the Caribbean,2007,26011
Latin America and the Caribbean,2008,26547
Latin America and the Caribbean,2009,26867
Latin America and the Caribbean,2010,28818
Latin America and the Caribbean,2011,27856
Latin America and the Caribbean,2012,27173
Latin America and the Caribbean,2013,24950
Northern America,1980,9378
Northern America,1981,10030
Northern America,1982,9074
Northern America,1983,7100
Northern America,1984,6661
Northern America,1985,6543
Northern America,1986,7074
Northern America,1987,7705
Northern America,1988,6469
Northern America,1989,6790
Northern America,1990,5892
Northern America,1991,6054
Northern America,1992,6842
Northern America,1993,7435
Northern America,1994,5901
Northern America,1995,4890
Northern America,1996,5515
Northern America,1997,4753
Northern America,1998,4437
Northern America,1999,5196
Northern America,2000,5433
Northern America,2001,5604
Northern America,2002,4948
Northern America,2003,5543
Northern America,2004,6990
Northern America,2005,8394
Northern America,2006,9613
Northern America,2007,9463
Northern America,2008,10190
Northern America,2009,8995
Northern America,2010,8142
Northern America,2011,7676
Northern America,2012,7891
Northern America,2013,8501
Oceania,1980,1942
Oceania,1981,1839
Oceania,1982,1675
Oceania,1983,1018
Oceania,1984,878
Oceania,1985,920
Oceania,1986,904
Oceania,1987,1200
Oceania,1988,1181
Oceania,1989,1539
Oceania,1990,2075
Oceania,1991,2495
Oceania,1992,2871
Oceania,1993,2566
Oceania,1994,1967
Oceania,1995,1565
Oceania,1996,1552
Oceania,1997,1263
Oceania,1998,1021
Oceania,1999,1055
Oceania,2000,1276
Oceania,2001,1818
Oceania,2002,1685
Oceania,2003,1800
Oceania,2004,1788
Oceania,2005,1585
Oceania,2006,1473
Oceania,2007,1693
Oceania,2008,1834
Oceania,2009,1860
Oceania,2010,1834
Oceania,2011,1548
Oceania,2012,1679
Oceania,2013,1775
