regname,year,lat,lon,population,value
Australia and New Zealand,1980,-68.0,307.0,28815214,1304
Australia and New Zealand,1981,-68.0,307.0,28815214,1119
Australia and New Zealand,1982,-68.0,307.0,28815214,848
Australia and New Zealand,1983,-68.0,307.0,28815214,457
Australia and New Zealand,1984,-68.0,307.0,28815214,481
Australia and New Zealand,1985,-68.0,307.0,28815214,467
Australia and New Zealand,1986,-68.0,307.0,28815214,532
Australia and New Zealand,1987,-68.0,307.0,28815214,675
Australia and New Zealand,1988,-68.0,307.0,28815214,610
Australia and New Zealand,1989,-68.0,307.0,28815214,790
Australia and New Zealand,1990,-68.0,307.0,28815214,890
Australia and New Zealand,1991,-68.0,307.0,28815214,867
Australia and New Zealand,1992,-68.0,307.0,28815214,1075
Australia and New Zealand,1993,-68.0,307.0,28815214,1238
Australia and New Zealand,1994,-68.0,307.0,28815214,936
Australia and New Zealand,1995,-68.0,307.0,28815214,878
Australia and New Zealand,1996,-68.0,307.0,28815214,918
Australia and New Zealand,1997,-68.0,307.0,28815214,804
Australia and New Zealand,1998,-68.0,307.0,28815214,625
Australia and New Zealand,1999,-68.0,307.0,28815214,687
Australia and New Zealand,2000,-68.0,307.0,28815214,811
Australia and New Zealand,2001,-68.0,307.0,28815214,1159
Australia and New Zealand,2002,-68.0,307.0,28815214,1068
Australia and New Zealand,2003,-68.0,307.0,28815214,1221
Australia and New Zealand,2004,-68.0,307.0,28815214,1280
Australia and New Zealand,2005,-68.0,307.0,28815214,1279
Australia and New Zealand,2006,-68.0,307.0,28815214,1193
Australia and New Zealand,2007,-68.0,307.0,28815214,1383
Australia and New Zealand,2008,-68.0,307.0,28815214,1498
Australia and New Zealand,2009,-68.0,307.0,28815214,1538
Australia and New Zealand,2010,-68.0,307.0,28815214,1423
Australia and New Zealand,2011,-68.0,307.0,28815214,1226
Australia and New Zealand,2012,-68.0,307.0,28815214,1399
Australia and New Zealand,2013,-68.0,307.0,28815214,1536
Caribbean,1980,215.21666664,-866.8333333,37731146,7045
Caribbean,1981,215.21666664,-866.8333333,37731146,8310
Caribbean,1982,215.21666664,-866.8333333,37731146,8326
Caribbean,1983,215.21666664,-866.8333333,37731146,6998
Caribbean,1984,215.21666664,-866.8333333,37731146,5553
Caribbean,1985,215.21666664,-866.8333333,37731146,6048
Caribbean,1986,215.21666664,-866.8333333,37731146,8716
Caribbean,1987,215.21666664,-866.8333333,37731146,10932
Caribbean,1988,215.21666664,-866.8333333,37731146,9229
Caribbean,1989,215.21666664,-866.8333333,37731146,10786
Caribbean,1990,215.21666664,-866.8333333,37731146,11596
Caribbean,1991,215.21666664,-866.8333333,37731146,12887
Caribbean,1992,215.21666664,-866.8333333,37731146,14975
Caribbean,1993,215.21666664,-866.8333333,37731146,16569
Caribbean,1994,215.21666664,-866.8333333,37731146,9936
Caribbean,1995,215.21666664,-866.8333333,37731146,9976
Caribbean,1996,215.21666664,-866.8333333,37731146,9293
Caribbean,1997,215.21666664,-866.8333333,37731146,8121
Caribbean,1998,215.21666664,-866.8333333,37731146,6298
Caribbean,1999,215.21666664,-866.8333333,37731146,6714
Caribbean,2000,215.21666664,-866.8333333,37731146,7072
Caribbean,2001,215.21666664,-866.8333333,37731146,8433
Caribbean,2002,215.21666664,-866.8333333,37731146,7507
