areaname,country,devname,lat,lon,flag,year,value
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1980,5123
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1981,6682
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1982,3308
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1983,1863
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1984,1527
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1985,1816
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1986,1960
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1987,2643
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1988,2758
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1989,4323
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1990,8076
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1991,14255
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1992,10846
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1993,9817
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1994,13128
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1995,14398
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1996,19415
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1997,20475
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1998,21049
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,1999,30069
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2000,35529
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2001,36434
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2002,31961
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2003,36439
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2004,36619
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2005,42584
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2006,33518
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2007,27642
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2008,30037
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2009,29622
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2010,30391
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2011,28502
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2012,33024
Asia,China,All,35,105,https://restcountries.eu/data/chn.svg,2013,34129
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1980,1011
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1981,1456
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1982,1572
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1983,1081
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1984,847
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1985,962
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1986,1208
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1987,2338
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1988,2805
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1989,2979
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1990,2087
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1991,2598
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1992,3790
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1993,3819
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1994,3005
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1995,3501
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1996,3250
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1997,4093
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1998,4938
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,1999,7108
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2000,7618
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2001,9619
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2002,7342
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2003,7117
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2004,5352
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2005,5832
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2006,6215
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2007,5920
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2008,7294
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2009,5874
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2010,5537
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2011,4588
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2012,5316
Asia,Republic of Korea,All,37,127.5,https://restcountries.eu/data/kor.svg,2013,4509
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1980,6051
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1981,5921
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1982,5249
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1983,4562
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1984,3801
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1985,3150
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1986,4166
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1987,7360
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1988,8639
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1989,11865
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1990,12509
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1991,12718
Asia,Philippines,All,13,122,https://restcountries.eu/data/phl.svg,1992,13670
