areaname,regname,country,devname,lat,lon,flag,capital,population,countrycode,year,value
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1980,5123
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1981,6682
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1982,3308
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1983,1863
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1984,1527
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1985,1816
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1986,1960
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1987,2643
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1988,2758
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1989,4323
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1990,8076
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1991,14255
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1992,10846
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1993,9817
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1994,13128
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1995,14398
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1996,19415
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1997,20475
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1998,21049
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,1999,30069
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2000,35529
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2001,36434
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2002,31961
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2003,36439
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2004,36619
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2005,42584
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2006,33518
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2007,27642
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2008,30037
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2009,29622
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2010,30391
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2011,28502
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2012,33024
Asia,Eastern Asia,China,Developing regions,35.0,105.0,https://restcountries.eu/data/chn.svg,Beijing,1377422166,CN,2013,34129
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1980,1729
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1981,2027
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1982,2219
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1983,1490
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1984,1169
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1985,1177
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1986,1298
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1987,1658
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1988,2038
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1989,2332
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1990,2177
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1991,2911
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1992,3487
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1993,3709
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1994,2759
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1995,3332
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1996,2623
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1997,2473
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1998,3214
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,1999,3343
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2000,3765
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2001,3806
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2002,3463
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2003,3568
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2004,4391
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2005,4429
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2006,4002
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2007,4290
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2008,4532
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2009,5051
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2010,4646
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2011,4080
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2012,6280
Europe,Western Europe,France,Developed regions,46.0,2.0,https://restcountries.eu/data/fra.svg,Paris,66710000,FR,2013,5623
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1980,1626
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1981,1977
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1982,3062
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1983,2376
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1984,1610
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1985,1441
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1986,1233
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1987,1704
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1988,1482
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1989,1706
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1990,1273
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1991,1273
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1992,1181
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1993,1488
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1994,1255
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1995,1553
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1996,1686
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1997,1397
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1998,1363
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,1999,1717
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2000,1703
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2001,1456
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2002,1375
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2003,1865
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2004,2020
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2005,2226
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2006,2767
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2007,2449
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2008,3833
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2009,3887
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2010,2956
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2011,2053
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2012,1702
Europe,Western Europe,Germany,Developed regions,51.0,9.0,https://restcountries.eu/data/deu.svg,Berlin,81770900,DE,2013,1217
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1980,8880
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1981,8670
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1982,8147
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1983,7338
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1984,5704
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1985,4211
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1986,7150
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1987,10189
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1988,11522
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1989,10343
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1990,12041
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1991,13734
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1992,13673
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1993,21496
Asia,Southern Asia,India,Developing regions,20.0,77.0,https://restcountries.eu/data/ind.svg,New Delhi,1295210000,IN,1994,18620
