areaname,country,devname,lat,lon,flag,capital,year,value
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1980,7
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1981,10
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1982,7
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1983,12
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1984,14
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1985,10
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1986,37
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1987,190
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1988,217
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1989,401
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1990,1059
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1991,3266
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1992,5794
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1993,3734
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1994,1576
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1995,2000
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1996,1541
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1997,1084
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1998,1397
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,1999,1652
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2000,1568
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2001,1155
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2002,730
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2003,957
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2004,1364
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2005,1198
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2006,1061
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2007,1166
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2008,1015
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2009,1214
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2010,1528
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2011,1535
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2012,1582
Africa,Somalia,All,10,49,https://restcountries.eu/data/som.svg,Mogadishu,2013,2028
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1980,80
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1981,67
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1982,71
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1983,69
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1984,63
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1985,44
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1986,69
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1987,132
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1988,242
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1989,434
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1990,491
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1991,872
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1992,795
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1993,717
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1994,595
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1995,1106
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1996,2054
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1997,1842
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1998,2292
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,1999,2389
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2000,2867
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2001,3418
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2002,3406
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2003,3072
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2004,3616
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2005,3626
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2006,4807
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2007,3623
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2008,4005
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2009,5393
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2010,4752
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2011,4325
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2012,3774
Africa,Algeria,All,28,3,https://restcountries.eu/data/dza.svg,Algiers,2013,4331
Africa,Egypt,All,27,30,https://restcountries.eu/data/egy.svg,Cairo,1980,612
Africa,Egypt,All,27,30,https://restcountries.eu/data/egy.svg,Cairo,1981,660
